alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,114.50,25.99,4.88,14.92,3.34,1.86,29.75,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.40,27.96,102.18,14.90,3.29,1.86,34.44,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.20,0.00,116.47,-0.182025,1,1,1,3.6929,3.6886,3.6952,3.6965,3.6942,3.6948,3.6920,3.6848,3.6935,3.6945,3.7172,3.6942,3.7036,3.6925,3.6927,3.6907,3.7191,3.6838,3.6932,3.7221,3.6964,3.6798,3.6948,3.6946,3.6944,3.6951,3.6962,3.6957,3.6940,3.6937,3.6936,
Yes,0.00,114.50,25.98,4.88,14.92,3.34,1.86,29.74,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.40,27.95,102.18,14.90,3.29,1.86,34.44,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.20,0.00,116.47,-0.182354,1,1,1,3.6930,3.6886,3.6951,3.6963,3.6942,3.6947,3.6922,3.6849,3.6935,3.6946,3.7171,3.6944,3.7037,3.6926,3.6926,3.6905,3.7189,3.6838,3.6932,3.7220,3.6962,3.6795,3.6948,3.6947,3.6943,3.6951,3.6960,3.6955,3.6940,3.6935,3.6936,
Yes,0.00,114.50,25.98,4.88,14.92,3.34,1.86,29.76,0x0,0x0,0,0,0.33,0.02,0.00,Yes,0.00,114.41,27.94,102.18,14.90,3.29,1.86,34.43,0x0,0x0,0,0,0.37,0.02,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.182164,1,1,1,3.6929,3.6886,3.6953,3.6965,3.6943,3.6948,3.6921,3.6848,3.6937,3.6948,3.7174,3.6942,3.7036,3.6926,3.6927,3.6906,3.7192,3.6838,3.6932,3.7220,3.6963,3.6798,3.6948,3.6947,3.6943,3.6951,3.6961,3.6957,3.6938,3.6935,3.6936,
Yes,0.00,114.52,25.98,4.88,14.92,3.34,1.86,29.75,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.41,27.94,102.18,14.90,3.29,1.86,34.43,0x0,0x0,0,0,0.05,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.183201,1,1,1,3.6930,3.6886,3.6952,3.6965,3.6943,3.6949,3.6921,3.6847,3.6936,3.6947,3.7172,3.6943,3.7036,3.6926,3.6927,3.6906,3.7192,3.6838,3.6931,3.7220,3.6963,3.6798,3.6948,3.6946,3.6943,3.6951,3.6962,3.6957,3.6939,3.6936,3.6937,
Yes,0.00,114.50,25.97,4.88,14.92,3.34,1.86,29.72,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.40,27.94,102.18,14.90,3.29,1.86,34.43,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.20,0.00,116.47,-0.182140,1,1,1,3.6931,3.6887,3.6952,3.6963,3.6942,3.6947,3.6922,3.6849,3.6936,3.6945,3.7171,3.6943,3.7037,3.6926,3.6927,3.6906,3.7191,3.6839,3.6933,3.7220,3.6963,3.6797,3.6949,3.6947,3.6944,3.6951,3.6960,3.6954,3.6940,3.6937,3.6935,
Yes,0.00,114.50,25.97,4.88,14.92,3.34,1.86,29.75,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.40,27.93,102.18,14.90,3.29,1.86,34.42,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.20,0.00,116.47,-0.181890,1,1,1,3.6930,3.6886,3.6952,3.6966,3.6943,3.6948,3.6922,3.6850,3.6937,3.6947,3.7172,3.6943,3.7038,3.6927,3.6928,3.6908,3.7192,3.6837,3.6932,3.7221,3.6964,3.6797,3.6948,3.6947,3.6944,3.6952,3.6963,3.6957,3.6938,3.6935,3.6936,
Yes,0.00,114.51,25.97,4.88,14.92,3.34,1.86,29.72,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.40,27.93,102.18,14.90,3.29,1.86,34.42,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.181981,1,1,1,3.6931,3.6887,3.6954,3.6966,3.6944,3.6948,3.6923,3.6850,3.6938,3.6949,3.7173,3.6943,3.7037,3.6927,3.6928,3.6906,3.7192,3.6840,3.6933,3.7222,3.6966,3.6798,3.6949,3.6947,3.6944,3.6953,3.6962,3.6957,3.6941,3.6936,3.6936,
Yes,0.00,114.50,25.97,4.88,14.92,3.34,1.86,29.74,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.41,27.93,102.18,14.90,3.29,1.86,34.42,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.181905,1,1,1,3.6931,3.6887,3.6953,3.6966,3.6943,3.6948,3.6921,3.6848,3.6937,3.6946,3.7172,3.6942,3.7036,3.6928,3.6927,3.6906,3.7192,3.6839,3.6932,3.7221,3.6964,3.6797,3.6948,3.6947,3.6943,3.6951,3.6961,3.6956,3.6938,3.6936,3.6935,
Yes,0.00,114.50,25.97,4.88,14.92,3.34,1.86,29.75,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.39,27.92,102.18,14.90,3.29,1.86,34.42,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,116.00,0.00,0.00,27.42,0.00,116.00,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.181806,1,1,1,3.6930,3.6887,3.6953,3.6966,3.6943,3.6948,3.6922,3.6849,3.6937,3.6948,3.7173,3.6943,3.7036,3.6926,3.6927,3.6906,3.7192,3.6838,3.6933,3.7220,3.6963,3.6797,3.6948,3.6947,3.6943,3.6950,3.6960,3.6954,3.6938,3.6936,3.6936,
Yes,0.00,114.49,25.96,4.88,14.92,3.34,1.86,29.74,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.40,27.92,102.18,14.90,3.29,1.86,34.43,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.20,0.00,116.47,-0.182490,1,1,1,3.6930,3.6887,3.6953,3.6966,3.6943,3.6947,3.6921,3.6850,3.6937,3.6948,3.7173,3.6943,3.7037,3.6927,3.6928,3.6908,3.7192,3.6838,3.6933,3.7221,3.6964,3.6798,3.6948,3.6947,3.6944,3.6953,3.6962,3.6957,3.6939,3.6936,3.6936,
Yes,0.00,114.51,25.96,4.88,14.92,3.34,1.86,29.74,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.40,27.91,102.18,14.90,3.29,1.86,34.42,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.182394,1,1,1,3.6930,3.6886,3.6951,3.6965,3.6942,3.6947,3.6922,3.6850,3.6937,3.6947,3.7171,3.6942,3.7037,3.6925,3.6927,3.6906,3.7191,3.6839,3.6932,3.7220,3.6964,3.6797,3.6948,3.6947,3.6942,3.6952,3.6962,3.6955,3.6938,3.6935,3.6934,
Yes,0.00,114.50,25.96,4.88,14.92,3.34,1.86,29.72,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.41,27.91,102.18,14.90,3.29,1.86,34.42,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.182203,1,1,1,3.6930,3.6885,3.6951,3.6965,3.6943,3.6948,3.6921,3.6848,3.6936,3.6947,3.7173,3.6942,3.7035,3.6926,3.6927,3.6907,3.7192,3.6839,3.6932,3.7220,3.6963,3.6798,3.6948,3.6947,3.6943,3.6952,3.6961,3.6957,3.6940,3.6934,3.6937,
Yes,0.00,114.50,25.95,4.88,14.92,3.34,1.86,29.72,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.41,27.90,102.18,14.90,3.29,1.86,34.41,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.20,0.00,116.47,-0.182807,1,1,1,3.6932,3.6888,3.6953,3.6966,3.6944,3.6948,3.6922,3.6850,3.6938,3.6948,3.7174,3.6944,3.7036,3.6928,3.6929,3.6907,3.7192,3.6839,3.6933,3.7221,3.6964,3.6796,3.6949,3.6947,3.6944,3.6952,3.6962,3.6956,3.6939,3.6936,3.6936,
Yes,0.00,114.51,25.95,4.88,14.92,3.34,1.86,29.74,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.42,27.90,102.18,14.90,3.29,1.86,34.41,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.20,0.00,116.47,-0.182577,1,1,1,3.6931,3.6887,3.6954,3.6967,3.6944,3.6949,3.6922,3.6849,3.6936,3.6948,3.7175,3.6943,3.7037,3.6927,3.6928,3.6907,3.7193,3.6840,3.6934,3.7222,3.6965,3.6798,3.6949,3.6948,3.6945,3.6953,3.6962,3.6957,3.6940,3.6937,3.6937,
Yes,0.00,114.51,25.95,4.88,14.92,3.34,1.86,29.71,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.41,27.90,102.18,14.90,3.29,1.86,34.41,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.182482,1,1,1,3.6930,3.6885,3.6952,3.6965,3.6942,3.6949,3.6923,3.6848,3.6935,3.6946,3.7170,3.6943,3.7036,3.6926,3.6927,3.6906,3.7192,3.6839,3.6933,3.7220,3.6963,3.6797,3.6948,3.6946,3.6943,3.6951,3.6961,3.6956,3.6940,3.6936,3.6935,
Yes,0.00,114.51,25.95,4.88,14.92,3.34,1.86,29.72,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,114.41,27.89,102.18,14.90,3.29,1.86,34.41,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0.00,0.00,26.41,0.00,115.98,0.00,0.00,27.42,0.00,115.98,0.00,0.00,25.96,0.00,0.00,0.00,0.00,26.75,0.00,0.00,0.00,0.00,26.18,0.00,116.47,0.00,0.00,27.31,0.00,116.47,-0.182132,1,1,1,3.6930,3.6887,3.6953,3.6967,3.6945,3.6951,3.6922,3.6848,3.6935,3.6946,3.7174,3.6943,3.7037,3.6927,3.6929,3.6907,3.7194,3.6840,3.6935,3.7221,3.6965,3.6798,3.6949,3.6947,3.6944,3.6952,3.6963,3.6958,3.6940,3.6937,3.6935,
