alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,119.23,33.64,4.88,14.92,3.34,1.87,34.69,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.19,34.70,101.90,14.91,3.29,1.86,38.51,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.77,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.33,0.00,121.37,0.00,0.00,35.32,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8401,3.8414,3.8412,3.8426,3.8399,3.8396,3.8372,3.8373,3.8398,3.8403,3.8879,3.8385,3.8791,3.8370,3.8377,3.8373,3.8955,3.8502,3.8372,3.8970,3.8418,3.8241,3.8409,3.8422,3.8429,3.8431,3.8421,3.8415,3.8400,3.8396,3.8401,
Yes,0.00,119.24,33.63,4.88,14.92,3.34,1.87,34.69,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.19,34.70,101.90,14.91,3.29,1.86,38.51,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.77,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.33,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8401,3.8413,3.8413,3.8425,3.8400,3.8396,3.8372,3.8373,3.8399,3.8402,3.8880,3.8386,3.8791,3.8370,3.8376,3.8372,3.8954,3.8501,3.8371,3.8969,3.8417,3.8241,3.8407,3.8420,3.8428,3.8430,3.8420,3.8416,3.8401,3.8395,3.8401,
Yes,0.00,119.24,33.63,4.88,14.92,3.34,1.87,34.69,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.19,34.70,101.90,14.91,3.29,1.86,38.51,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.77,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.33,0.00,121.37,0.00,0.00,35.32,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8400,3.8413,3.8411,3.8425,3.8398,3.8396,3.8371,3.8373,3.8398,3.8403,3.8880,3.8386,3.8790,3.8368,3.8376,3.8373,3.8953,3.8502,3.8371,3.8970,3.8416,3.8241,3.8408,3.8421,3.8428,3.8429,3.8419,3.8416,3.8399,3.8395,3.8401,
Yes,0.00,119.23,33.63,4.88,14.92,3.34,1.87,34.71,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.19,34.70,101.90,14.91,3.29,1.86,38.53,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.77,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.33,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8401,3.8413,3.8412,3.8425,3.8398,3.8395,3.8372,3.8374,3.8398,3.8404,3.8878,3.8386,3.8792,3.8370,3.8375,3.8371,3.8952,3.8503,3.8372,3.8968,3.8416,3.8241,3.8408,3.8421,3.8428,3.8429,3.8419,3.8414,3.8399,3.8395,3.8400,
Yes,0.00,119.24,33.62,4.88,14.92,3.34,1.87,34.71,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.19,34.68,101.90,14.91,3.29,1.86,38.53,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.77,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.33,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8401,3.8412,3.8411,3.8425,3.8399,3.8397,3.8372,3.8372,3.8397,3.8401,3.8879,3.8386,3.8790,3.8368,3.8376,3.8373,3.8954,3.8502,3.8370,3.8969,3.8416,3.8242,3.8408,3.8421,3.8429,3.8430,3.8419,3.8416,3.8398,3.8395,3.8401,
Yes,0.00,119.24,33.62,4.88,14.92,3.34,1.87,34.72,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.68,101.90,14.91,3.29,1.86,38.54,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.77,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.33,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8400,3.8413,3.8412,3.8426,3.8398,3.8396,3.8372,3.8372,3.8398,3.8402,3.8879,3.8386,3.8790,3.8370,3.8375,3.8372,3.8953,3.8501,3.8371,3.8970,3.8417,3.8242,3.8407,3.8421,3.8427,3.8430,3.8419,3.8416,3.8401,3.8395,3.8402,
Yes,0.00,119.23,33.62,4.88,14.92,3.34,1.87,34.74,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.68,101.90,14.91,3.29,1.86,38.55,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.77,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.33,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8399,3.8412,3.8411,3.8425,3.8398,3.8396,3.8370,3.8371,3.8396,3.8400,3.8880,3.8384,3.8789,3.8368,3.8375,3.8372,3.8954,3.8500,3.8369,3.8968,3.8415,3.8240,3.8407,3.8420,3.8428,3.8430,3.8419,3.8415,3.8397,3.8394,3.8401,
Yes,0.00,119.24,33.62,4.88,14.92,3.34,1.87,34.75,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.20,34.68,101.90,14.91,3.29,1.86,38.56,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8400,3.8412,3.8412,3.8424,3.8398,3.8397,3.8372,3.8372,3.8398,3.8401,3.8879,3.8385,3.8791,3.8368,3.8374,3.8372,3.8952,3.8502,3.8371,3.8969,3.8416,3.8242,3.8408,3.8421,3.8428,3.8428,3.8419,3.8415,3.8399,3.8395,3.8401,
Yes,0.00,119.22,33.62,4.88,14.92,3.34,1.87,34.78,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.56,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8402,3.8414,3.8411,3.8425,3.8398,3.8395,3.8372,3.8374,3.8399,3.8402,3.8879,3.8387,3.8791,3.8370,3.8376,3.8372,3.8952,3.8503,3.8372,3.8970,3.8416,3.8240,3.8409,3.8422,3.8428,3.8429,3.8418,3.8414,3.8401,3.8396,3.8402,
Yes,0.00,119.23,33.61,4.88,14.92,3.34,1.87,34.76,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.58,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8399,3.8411,3.8411,3.8425,3.8398,3.8396,3.8371,3.8373,3.8396,3.8403,3.8879,3.8385,3.8789,3.8369,3.8375,3.8372,3.8953,3.8500,3.8371,3.8968,3.8415,3.8240,3.8407,3.8420,3.8427,3.8427,3.8419,3.8415,3.8399,3.8395,3.8401,
Yes,0.00,119.23,33.61,4.88,14.92,3.34,1.87,34.79,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.59,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.55,0.00,121.20,0.000000,1,1,1,3.8400,3.8412,3.8410,3.8424,3.8397,3.8394,3.8372,3.8373,3.8396,3.8401,3.8878,3.8386,3.8790,3.8370,3.8375,3.8372,3.8951,3.8501,3.8371,3.8968,3.8415,3.8240,3.8407,3.8421,3.8428,3.8428,3.8418,3.8414,3.8398,3.8394,3.8399,
Yes,0.00,119.24,33.60,4.88,14.92,3.34,1.87,34.79,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.59,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.10,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.66,0.00,121.20,0.000000,1,1,1,3.8401,3.8413,3.8411,3.8423,3.8397,3.8395,3.8371,3.8372,3.8396,3.8401,3.8879,3.8386,3.8790,3.8369,3.8375,3.8371,3.8951,3.8501,3.8370,3.8968,3.8416,3.8240,3.8407,3.8420,3.8427,3.8428,3.8418,3.8414,3.8399,3.8394,3.8399,
Yes,0.00,119.24,33.60,4.88,14.92,3.34,1.87,34.80,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.60,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.21,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.66,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.66,0.00,121.20,0.000000,1,1,1,3.8400,3.8412,3.8411,3.8425,3.8398,3.8395,3.8372,3.8372,3.8398,3.8402,3.8879,3.8386,3.8791,3.8369,3.8375,3.8371,3.8952,3.8502,3.8371,3.8969,3.8416,3.8242,3.8407,3.8421,3.8427,3.8429,3.8419,3.8414,3.8400,3.8394,3.8401,
Yes,0.00,119.24,33.59,4.88,14.92,3.34,1.87,34.81,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.61,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.21,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.77,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.66,0.00,121.20,0.000000,1,1,1,3.8399,3.8411,3.8410,3.8423,3.8398,3.8396,3.8368,3.8371,3.8397,3.8399,3.8877,3.8385,3.8789,3.8368,3.8372,3.8371,3.8952,3.8500,3.8371,3.8968,3.8414,3.8241,3.8406,3.8419,3.8426,3.8428,3.8417,3.8415,3.8397,3.8393,3.8399,
Yes,0.00,119.23,33.59,4.88,14.92,3.34,1.87,34.83,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.19,34.67,101.90,14.91,3.29,1.86,38.62,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.21,0.00,120.71,0.00,0.00,37.88,0.00,120.71,0.00,0.00,33.77,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.66,0.00,121.20,0.000000,1,1,1,3.8400,3.8412,3.8411,3.8424,3.8398,3.8395,3.8372,3.8373,3.8398,3.8400,3.8880,3.8385,3.8791,3.8370,3.8375,3.8373,3.8952,3.8500,3.8372,3.8969,3.8417,3.8240,3.8407,3.8420,3.8428,3.8428,3.8419,3.8414,3.8398,3.8395,3.8401,
Yes,0.00,119.22,33.58,4.88,14.92,3.34,1.87,34.84,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.63,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.21,0.00,120.73,0.00,0.00,37.88,0.00,120.73,0.00,0.00,33.77,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.66,0.00,121.20,0.000000,1,1,1,3.8400,3.8412,3.8411,3.8424,3.8398,3.8396,3.8372,3.8372,3.8397,3.8402,3.8879,3.8385,3.8791,3.8368,3.8375,3.8371,3.8953,3.8502,3.8371,3.8968,3.8416,3.8241,3.8407,3.8421,3.8427,3.8429,3.8419,3.8414,3.8398,3.8396,3.8400,
Yes,0.00,119.23,33.57,4.88,14.92,3.34,1.87,34.83,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,119.18,34.67,101.90,14.91,3.29,1.86,38.65,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,37.21,0.00,120.73,0.00,0.00,37.88,0.00,120.73,0.00,0.00,33.77,0.00,121.37,0.00,0.00,34.44,0.00,121.37,0.00,0.00,35.43,0.00,121.20,0.00,0.00,36.66,0.00,121.20,0.000000,1,1,1,3.8400,3.8412,3.8410,3.8424,3.8397,3.8396,3.8373,3.8372,3.8398,3.8402,3.8880,3.8386,3.8790,3.8368,3.8373,3.8372,3.8950,3.8503,3.8371,3.8969,3.8414,3.8240,3.8407,3.8420,3.8428,3.8428,3.8418,3.8414,3.8398,3.8395,3.8400,
